Frequency,Average Rel Power,-,Cal Rel Power
1418.8,0.01839,0.007815,2.353178
1418.801172,0.018224,0.007816,2.331698
1418.802344,0.018147,0.00781,2.323673
1418.803516,0.018156,0.007785,2.332289
1418.804688,0.018207,0.007767,2.344162
1418.805859,0.018223,0.007753,2.350629
1418.807031,0.018247,0.007731,2.360185
1418.808203,0.018273,0.007725,2.365277
1418.809375,0.018201,0.007707,2.361537
1418.810547,0.018114,0.007675,2.360219
1418.811719,0.018044,0.00766,2.355678
1418.812891,0.017953,0.007654,2.345495
1418.814062,0.017991,0.007639,2.355056
1418.815234,0.017965,0.007621,2.357392
1418.816406,0.017935,0.007606,2.357816
1418.817578,0.017953,0.00759,2.365288
1418.81875,0.017986,0.007586,2.370883
1418.819922,0.01807,0.007571,2.386581
1418.821094,0.018059,0.007556,2.389978
1418.822266,0.017924,0.007555,2.372561
1418.823437,0.017904,0.007543,2.373684
1418.824609,0.01791,0.007528,2.378994
1418.825781,0.017776,0.007513,2.366002
1418.826953,0.017725,0.007492,2.365927
1418.828125,0.01775,0.007482,2.372411
1418.829297,0.017651,0.007488,2.357254
1418.830469,0.017651,0.007485,2.35806
1418.831641,0.017623,0.007471,2.358875
1418.832813,0.017671,0.007458,2.369471
1418.833984,0.017706,0.007455,2.375123
1418.835156,0.01767,0.007447,2.372704
1418.836328,0.017651,0.007434,2.374443
1418.8375,0.017576,0.007433,2.364685
1418.838672,0.017589,0.00743,2.367312
1418.839844,0.017695,0.007412,2.387257
1418.841016,0.017671,0.007408,2.385273
1418.842187,0.017641,0.007415,2.379007
1418.843359,0.017569,0.007407,2.37211
1418.844531,0.017519,0.007407,2.365169
1418.845703,0.017638,0.007408,2.38095
1418.846875,0.017677,0.00739,2.392124
1418.848047,0.017632,0.007384,2.387742
1418.849219,0.017598,0.007382,2.384017
1418.850391,0.017672,0.00738,2.394439
1418.851562,0.017771,0.007395,2.403071
1418.852734,0.017783,0.007405,2.401583
1418.853906,0.017735,0.007402,2.395941
1418.855078,0.017756,0.007401,2.399228
1418.85625,0.017738,0.007407,2.394623
1418.857422,0.017661,0.007407,2.384283
1418.858594,0.017631,0.007408,2.379894
1418.859766,0.017684,0.007416,2.384672
1418.860937,0.017679,0.007421,2.3823
1418.862109,0.017648,0.007432,2.374501
1418.863281,0.017763,0.007466,2.379214
1418.864453,0.01789,0.007477,2.392535
1418.865625,0.017835,0.007463,2.389693
1418.866797,0.017777,0.007465,2.381372
1418.867969,0.017753,0.007498,2.36769
1418.869141,0.017817,0.00752,2.369474
1418.870312,0.017992,0.007516,2.393828
1418.871484,0.018042,0.00753,2.395878
1418.872656,0.018012,0.007553,2.384654
1418.873828,0.018055,0.007564,2.386938
1418.875,0.0181,0.007572,2.3904
1418.876172,0.018077,0.007587,2.382751
1418.877344,0.01809,0.007604,2.378913
1418.878516,0.018222,0.007627,2.389211
1418.879688,0.01829,0.00764,2.394006
1418.880859,0.018368,0.007651,2.400749
1418.882031,0.018295,0.007665,2.386887
1418.883203,0.018276,0.00769,2.376478
1418.884375,0.018373,0.007713,2.382092
1418.885547,0.018387,0.007738,2.376292
1418.886719,0.018454,0.00777,2.37501
1418.887891,0.018553,0.007794,2.380499
1418.889062,0.018624,0.007816,2.382974
1418.890234,0.018719,0.007842,2.387001
1418.891406,0.018848,0.007864,2.39674
1418.892578,0.01885,0.007893,2.388201
1418.89375,0.018832,0.007933,2.374025
1418.894922,0.018882,0.007971,2.368789
1418.896094,0.01896,0.007986,2.374177
1418.897266,0.01892,0.008009,2.362267
1418.898438,0.018941,0.008047,2.353728
1418.899609,0.019195,0.008088,2.373404
1418.900781,0.019373,0.00812,2.385783
1418.901953,0.019487,0.008145,2.392426
1418.903125,0.019557,0.008184,2.389575
1418.904297,0.019541,0.008233,2.373456
1418.905469,0.019619,0.008275,2.370981
1418.906641,0.019631,0.008306,2.363588
1418.907812,0.019582,0.008336,2.349204
1418.908984,0.019619,0.008367,2.344674
1418.910156,0.019808,0.008391,2.360659
1418.911328,0.020004,0.008427,2.373893
1418.9125,0.020099,0.008477,2.37102
1418.913672,0.020214,0.008519,2.372852
1418.914844,0.02032,0.008547,2.377333
1418.916016,0.02042,0.008585,2.378537
1418.917187,0.020516,0.008628,2.377718
1418.918359,0.020607,0.008663,2.378717
1418.919531,0.02062,0.008709,2.367718
1418.920703,0.020733,0.008757,2.367514
1418.921875,0.020975,0.008803,2.382609
1418.923047,0.021101,0.008849,2.384602
1418.924219,0.021099,0.008878,2.376594
1418.925391,0.021185,0.008935,2.370925
1418.926563,0.021315,0.008993,2.370099
1418.927734,0.021401,0.009036,2.368485
1418.928906,0.021475,0.009074,2.366751
1418.930078,0.021588,0.009103,2.371585
1418.93125,0.021771,0.009145,2.380717
1418.932422,0.021809,0.009203,2.369721
1418.933594,0.021808,0.009244,2.35904
1418.934766,0.022034,0.009288,2.372324
1418.935937,0.022216,0.009337,2.379241
1418.937109,0.022296,0.009373,2.378736
1418.938281,0.02243,0.009427,2.379265
1418.939453,0.022545,0.009493,2.375021
1418.940625,0.022711,0.009548,2.378488
1418.941797,0.022761,0.009595,2.372199
1418.942969,0.022877,0.009639,2.373436
1418.944141,0.022976,0.00968,2.373463
1418.945312,0.023156,0.009732,2.379302
1418.946484,0.023397,0.009799,2.387679
1418.947656,0.023419,0.009855,2.376292
1418.948828,0.023461,0.009898,2.370302
1418.95,0.023646,0.00996,2.374085
1418.951172,0.023909,0.010013,2.387776
1418.952344,0.024032,0.01006,2.388782
1418.953516,0.024085,0.01012,2.379988
1418.954687,0.024198,0.010176,2.377871
1418.955859,0.024353,0.010222,2.382497
1418.957031,0.024495,0.010285,2.38155
1418.958203,0.024543,0.010342,2.373099
1418.959375,0.024589,0.010373,2.370485
1418.960547,0.024754,0.010419,2.375946
1418.961719,0.025107,0.010485,2.39458
1418.962891,0.025236,0.010551,2.391927
1418.964062,0.025132,0.010587,2.37382
1418.965234,0.025214,0.010637,2.370472
1418.966406,0.025447,0.010709,2.376313
1418.967578,0.025673,0.010757,2.386584
1418.96875,0.025837,0.010824,2.38711
1418.969922,0.025968,0.01088,2.386716
1418.971094,0.026138,0.010924,2.392792
1418.972266,0.026287,0.01099,2.392002
1418.973438,0.026424,0.011057,2.389745
1418.974609,0.026466,0.011106,2.382993
1418.975781,0.026463,0.011151,2.373193
1418.976953,0.026654,0.011194,2.381142
1418.978125,0.026888,0.011256,2.388734
1418.979297,0.027032,0.01132,2.387963
1418.980469,0.027136,0.011388,2.382911
1418.981641,0.027407,0.011457,2.39226
1418.982812,0.027419,0.011503,2.383576
1418.983984,0.027498,0.011545,2.381866
1418.985156,0.02783,0.011602,2.398607
1418.986328,0.028062,0.011652,2.408259
1418.9875,0.028233,0.011711,2.410781
1418.988672,0.028365,0.011782,2.407405
1418.989844,0.02855,0.011835,2.412309
1418.991016,0.028607,0.011892,2.405491
1418.992188,0.028658,0.011957,2.396797
1418.993359,0.028801,0.012016,2.39696
1418.994531,0.028908,0.012053,2.398407
1418.995703,0.029031,0.012097,2.399876
1418.996875,0.029034,0.012148,2.389984
1418.998047,0.029074,0.012204,2.382339
1418.999219,0.029203,0.012263,2.381366
1419.000391,0.029447,0.012335,2.387255
1419.001562,0.029843,0.012417,2.40338
1419.002734,0.029922,0.012481,2.397447
1419.003906,0.029871,0.012526,2.384691
1419.005078,0.030049,0.012573,2.390005
1419.00625,0.030368,0.012624,2.405612
1419.007422,0.030537,0.012694,2.405692
1419.008594,0.030671,0.012753,2.404929
1419.009766,0.030846,0.012809,2.408199
1419.010937,0.030911,0.012866,2.402444
1419.012109,0.03095,0.012932,2.393365
1419.013281,0.031258,0.012983,2.407539
1419.014453,0.031381,0.013016,2.410977
1419.015625,0.031538,0.01307,2.413066
1419.016797,0.031752,0.013161,2.412502
1419.017969,0.031724,0.013254,2.393461
1419.019141,0.031705,0.013301,2.383612
1419.020313,0.031825,0.013332,2.387216
1419.021484,0.032014,0.013397,2.389758
1419.022656,0.032221,0.013473,2.391614
1419.023828,0.032385,0.013537,2.39234
1419.025,0.032543,0.013576,2.39705
1419.026172,0.032562,0.013636,2.388023
1419.027344,0.03281,0.013716,2.391991
1419.028516,0.033131,0.01377,2.406078
1419.029687,0.033344,0.013799,2.416444
1419.030859,0.033503,0.013843,2.420106
1419.032031,0.033597,0.013891,2.418639
1419.033203,0.033826,0.013939,2.426687
1419.034375,0.033875,0.014008,2.418204
1419.035547,0.033756,0.014083,2.396947
1419.036719,0.033902,0.014126,2.399887
1419.037891,0.034109,0.014167,2.407654
1419.039062,0.034284,0.014237,2.408161
1419.040234,0.034489,0.014298,2.412216
1419.041406,0.034697,0.014357,2.41678
1419.042578,0.034842,0.014414,2.417128
1419.04375,0.034899,0.014468,2.412219
1419.044922,0.035098,0.014534,2.41494
1419.046094,0.035201,0.014598,2.411439
1419.047266,0.035205,0.014646,2.40374
1419.048437,0.035297,0.014695,2.402027
1419.049609,0.035396,0.014752,2.399363
1419.050781,0.035488,0.014807,2.396688
1419.051953,0.03568,0.014878,2.398198
1419.053125,0.035862,0.014951,2.398644
1419.054297,0.036091,0.014979,2.409525
1419.055469,0.036314,0.015007,2.419809
1419.056641,0.036361,0.015067,2.413284
1419.057812,0.036576,0.015137,2.416306
1419.058984,0.036788,0.015189,2.42206
1419.060156,0.036737,0.01525,2.408967
1419.061328,0.036682,0.015294,2.398445
1419.0625,0.036888,0.015323,2.407331
1419.063672,0.037063,0.015387,2.408754
1419.064844,0.037327,0.015453,2.41556
1419.066016,0.037425,0.015484,2.417
1419.067188,0.037368,0.015513,2.408839
1419.068359,0.037538,0.015558,2.412756
1419.069531,0.037803,0.015591,2.424682
1419.070703,0.037963,0.015648,2.426081
1419.071875,0.038064,0.015751,2.416677
1419.073047,0.038228,0.015823,2.41607
1419.074219,0.038185,0.01587,2.406163
1419.075391,0.038358,0.015908,2.41133
1419.076562,0.038564,0.015971,2.4147
1419.077734,0.038447,0.016027,2.398949
1419.078906,0.038502,0.016069,2.395996
1419.080078,0.038625,0.016112,2.397237
1419.08125,0.038841,0.016187,2.399497
1419.082422,0.038953,0.016244,2.398029
1419.083594,0.039039,0.016268,2.399693
1419.084766,0.039335,0.016343,2.406826
1419.085938,0.039519,0.016403,2.409243
1419.087109,0.039637,0.016441,2.410854
1419.088281,0.039755,0.016462,2.415033
1419.089453,0.039971,0.016493,2.423606
1419.090625,0.040223,0.01657,2.427531
1419.091797,0.040467,0.016649,2.430576
1419.092969,0.040511,0.016702,2.425478
1419.094141,0.040372,0.016739,2.411906
1419.095312,0.040393,0.016774,2.408019
1419.096484,0.040529,0.016823,2.409183
1419.097656,0.04064,0.016885,2.406949
1419.098828,0.040741,0.016916,2.408396
1419.1,0.040746,0.016934,2.406185
1419.101172,0.04111,0.016991,2.419496
1419.102344,0.041397,0.017054,2.427385
1419.103516,0.041455,0.017097,2.42464
1419.104687,0.041729,0.017157,2.432243
1419.105859,0.041837,0.017214,2.430382
1419.107031,0.041624,0.01728,2.408841
1419.108203,0.041892,0.017335,2.416604
1419.109375,0.042075,0.017392,2.419169
1419.110547,0.042101,0.017457,2.411741
1419.111719,0.042254,0.017497,2.414942
1419.112891,0.042476,0.017537,2.422067
1419.114063,0.042516,0.017552,2.422286
1419.115234,0.042387,0.017541,2.416425
1419.116406,0.042623,0.017578,2.424794
1419.117578,0.042923,0.017641,2.433136
1419.11875,0.042965,0.017697,2.427822
1419.119922,0.042942,0.017741,2.420435
1419.121094,0.043077,0.017782,2.422482
1419.122266,0.043447,0.017843,2.434957
1419.123437,0.043513,0.017897,2.431279
1419.124609,0.043617,0.017929,2.432812
1419.125781,0.043685,0.017955,2.432976
1419.126953,0.043802,0.017997,2.433848
1419.128125,0.043598,0.01802,2.419363
1419.129297,0.043573,0.018063,2.412278
1419.130469,0.043623,0.018133,2.405709
1419.131641,0.043835,0.018166,2.413027
1419.132812,0.044182,0.0182,2.427509
1419.133984,0.044506,0.018239,2.440139
1419.135156,0.044737,0.018267,2.449005
1419.136328,0.044755,0.018308,2.444549
1419.1375,0.04465,0.018332,2.435655
1419.138672,0.044698,0.018382,2.43165
1419.139844,0.0449,0.018425,2.436901
1419.141016,0.044859,0.018451,2.431305
1419.142187,0.044883,0.018489,2.427508
1419.143359,0.045098,0.01855,2.43121
1419.144531,0.045139,0.018598,2.427052
1419.145703,0.045322,0.018666,2.427978
1419.146875,0.045508,0.018716,2.431517
1419.148047,0.045535,0.018733,2.430773
1419.149219,0.045276,0.018739,2.416148
1419.150391,0.045339,0.018769,2.415669
1419.151562,0.04563,0.018808,2.426061
1419.152734,0.045447,0.018861,2.409535
1419.153906,0.045671,0.01891,2.415247
1419.155078,0.046054,0.01891,2.435447
1419.15625,0.046197,0.018935,2.439719
1419.157422,0.04633,0.018968,2.442525
1419.158594,0.046322,0.018986,2.439787
1419.159766,0.046166,0.019053,2.423095
1419.160938,0.046076,0.019131,2.408465
1419.162109,0.046126,0.019141,2.40977
1419.163281,0.046577,0.019138,2.433736
1419.164453,0.04689,0.019174,2.445505
1419.165625,0.04682,0.01923,2.434736
1419.166797,0.046592,0.01924,2.421651
1419.167969,0.046528,0.019282,2.41308
1419.169141,0.046851,0.019297,2.427842
1419.170312,0.047078,0.01931,2.43796
1419.171484,0.04715,0.019341,2.437835
1419.172656,0.047063,0.019361,2.430821
1419.173828,0.047064,0.019402,2.425682
1419.175,0.047234,0.019444,2.429284
1419.176172,0.047485,0.019487,2.436792
1419.177344,0.047394,0.019511,2.429096
1419.178516,0.047356,0.019587,2.417716
1419.179688,0.047571,0.01963,2.42336
1419.180859,0.047851,0.019654,2.434627
1419.182031,0.048048,0.01966,2.443925
1419.183203,0.048008,0.019678,2.439705
1419.184375,0.047791,0.019717,2.423866
1419.185547,0.047521,0.019749,2.406287
1419.186719,0.047628,0.01976,2.410387
1419.187891,0.04778,0.019794,2.413846
1419.189062,0.048094,0.019813,2.427424
1419.190234,0.048519,0.019831,2.446647
1419.191406,0.048434,0.019856,2.439267
1419.192578,0.048488,0.019899,2.436774
1419.19375,0.048745,0.019913,2.447898
1419.194922,0.048875,0.019911,2.4547
1419.196094,0.048837,0.019949,2.448114
1419.197266,0.048804,0.020006,2.439495
1419.198437,0.048798,0.020019,2.437548
1419.199609,0.04873,0.020029,2.432963
1419.200781,0.048614,0.020054,2.424116
1419.201953,0.048591,0.020069,2.421201
1419.203125,0.048686,0.020067,2.426219
1419.204297,0.048624,0.020082,2.421278
1419.205469,0.048773,0.020136,2.422187
1419.206641,0.049116,0.020163,2.435984
1419.207813,0.049286,0.020162,2.444519
1419.208984,0.049187,0.020186,2.436767
1419.210156,0.048971,0.020253,2.41799
1419.211328,0.049004,0.020283,2.416042
1419.2125,0.04919,0.020264,2.427534
1419.213672,0.049264,0.020216,2.436842
1419.214844,0.049256,0.020256,2.431655
1419.216016,0.049148,0.020326,2.418027
1419.217187,0.049287,0.020318,2.42579
1419.218359,0.049428,0.020311,2.433517
1419.219531,0.049361,0.020345,2.426163
1419.220703,0.049456,0.020355,2.429723
1419.221875,0.049713,0.020395,2.437535
1419.223047,0.04978,0.020448,2.434451
1419.224219,0.049621,0.020434,2.428299
1419.225391,0.049678,0.020391,2.436267
1419.226562,0.049672,0.020443,2.429806
1419.227734,0.049716,0.020521,2.42275
1419.228906,0.049945,0.020544,2.431066
1419.230078,0.049799,0.020529,2.425741
1419.23125,0.049987,0.020517,2.436347
1419.232422,0.05002,0.020523,2.437319
1419.233594,0.049851,0.020549,2.425938
1419.234766,0.049688,0.020581,2.414244
1419.235937,0.049736,0.020565,2.418539
1419.237109,0.049782,0.020556,2.421778
1419.238281,0.050041,0.020589,2.430393
1419.239453,0.050183,0.020614,2.434392
1419.240625,0.050197,0.020623,2.434013
1419.241797,0.050312,0.020625,2.439321
1419.242969,0.050514,0.020647,2.446562
1419.244141,0.050727,0.020673,2.453788
1419.245312,0.050604,0.02067,2.448168
1419.246484,0.050421,0.020673,2.439036
1419.247656,0.050477,0.020684,2.440426
1419.248828,0.050579,0.020715,2.441672
1419.25,0.050611,0.020726,2.441882
1419.251172,0.050651,0.02073,2.443366
1419.252344,0.050633,0.020752,2.439925
1419.253516,0.050336,0.020751,2.425716
1419.254688,0.050156,0.020738,2.418594
1419.255859,0.050383,0.020745,2.428741
1419.257031,0.050564,0.020786,2.432602
1419.258203,0.050689,0.020775,2.439938
1419.259375,0.050753,0.020742,2.446906
1419.260547,0.050587,0.020749,2.438063
1419.261719,0.050688,0.02075,2.442803
1419.262891,0.050643,0.02074,2.441786
1419.264062,0.050511,0.020791,2.429462
1419.265234,0.050456,0.02081,2.424545
1419.266406,0.050415,0.020769,2.427376
1419.267578,0.050656,0.02075,2.441219
1419.26875,0.050452,0.020803,2.425196
1419.269922,0.050267,0.02085,2.410937
1419.271094,0.050806,0.02082,2.440207
1419.272266,0.051153,0.020834,2.455219
1419.273438,0.051093,0.020837,2.452039
1419.274609,0.051013,0.020807,2.451705
1419.275781,0.051011,0.020818,2.450403
1419.276953,0.051067,0.02086,2.448017
1419.278125,0.051076,0.020898,2.444026
1419.279297,0.0509,0.020921,2.432943
1419.280469,0.050962,0.020877,2.441108
1419.281641,0.051171,0.020857,2.453396
1419.282812,0.050894,0.020855,2.440393
1419.283984,0.050613,0.02083,2.42988
1419.285156,0.0507,0.020847,2.43199
1419.286328,0.050821,0.020846,2.437876
1419.2875,0.050686,0.02085,2.431027
1419.288672,0.050969,0.020888,2.440107
1419.289844,0.051123,0.020911,2.444855
1419.291016,0.050885,0.020902,2.434428
1419.292187,0.050858,0.02089,2.434518
1419.293359,0.051108,0.020906,2.444693
1419.294531,0.051245,0.020927,2.448748
1419.295703,0.051257,0.020917,2.450452
1419.296875,0.051087,0.0209,2.444383
1419.298047,0.050917,0.020892,2.437113
1419.299219,0.050711,0.020921,2.423877
1419.300391,0.050609,0.020909,2.420363
1419.301563,0.050982,0.020875,2.442249
1419.302734,0.051297,0.020915,2.452701
1419.303906,0.051083,0.02096,2.437228
1419.305078,0.051064,0.020981,2.43381
1419.30625,0.051175,0.020955,2.442147
1419.307422,0.051266,0.020921,2.450457
1419.308594,0.051029,0.020895,2.442111
1419.309766,0.050951,0.020901,2.437767
1419.310937,0.051376,0.020918,2.456094
1419.312109,0.051364,0.020897,2.457989
1419.313281,0.051053,0.020876,2.445488
1419.314453,0.050902,0.020872,2.438834
1419.315625,0.050726,0.020889,2.428367
1419.316797,0.050766,0.020909,2.427981
1419.317969,0.050896,0.020875,2.438084
1419.319141,0.05094,0.020894,2.438007
1419.320312,0.050807,0.020902,2.43067
1419.321484,0.050413,0.020866,2.416008
1419.322656,0.050588,0.020869,2.424065
1419.323828,0.05102,0.020865,2.445244
1419.325,0.051033,0.02086,2.446481
1419.326172,0.05107,0.02085,2.449345
1419.327344,0.051042,0.020837,2.449569
1419.328516,0.050877,0.020839,2.441468
1419.329687,0.050723,0.020852,2.432554
1419.330859,0.050805,0.020847,2.437044
1419.332031,0.050737,0.020816,2.43737
1419.333203,0.050711,0.020821,2.435549
1419.334375,0.050668,0.020817,2.434002
1419.335547,0.050752,0.020813,2.438455
1419.336719,0.050944,0.020815,2.447507
1419.337891,0.050764,0.020802,2.440365
1419.339062,0.050582,0.020781,2.434104
1419.340234,0.05061,0.020758,2.43803
1419.341406,0.050557,0.020778,2.4332
1419.342578,0.050592,0.020804,2.431857
1419.34375,0.050819,0.02081,2.442099
1419.344922,0.050805,0.020788,2.443929
1419.346094,0.050951,0.020754,2.454971
1419.347266,0.051035,0.02075,2.459482
1419.348438,0.050914,0.02075,2.453634
1419.349609,0.050453,0.020744,2.432136
1419.350781,0.050377,0.020729,2.430237
1419.351953,0.050465,0.020712,2.436478
1419.353125,0.050214,0.020701,2.425647
1419.354297,0.050257,0.020694,2.428588
1419.355469,0.050413,0.020669,2.439092
1419.356641,0.050376,0.020638,2.440908
1419.357812,0.050077,0.020625,2.427977
1419.358984,0.05002,0.020646,2.422679
1419.360156,0.05022,0.020669,2.429727
1419.361328,0.050105,0.020669,2.42421
1419.3625,0.050291,0.020646,2.435922
1419.363672,0.050664,0.020625,2.45645
1419.364844,0.050399,0.020596,2.447025
1419.366016,0.050162,0.020549,2.441132
1419.367188,0.05001,0.02055,2.433522
1419.368359,0.049784,0.020567,2.420519
1419.369531,0.049869,0.020533,2.428643
1419.370703,0.049929,0.020513,2.433977
1419.371875,0.050023,0.02053,2.436544
1419.373047,0.050304,0.020534,2.449808
1419.374219,0.050124,0.020527,2.441875
1419.375391,0.049874,0.020516,2.430942
1419.376562,0.049612,0.020509,2.418994
1419.377734,0.049923,0.020499,2.43543
1419.378906,0.050022,0.020527,2.436892
1419.380078,0.049714,0.020551,2.41906
1419.38125,0.0496,0.020504,2.419036
1419.382422,0.049776,0.020469,2.43178
1419.383594,0.05,0.020443,2.445861
1419.384766,0.050029,0.020446,2.446843
1419.385937,0.05,0.020443,2.445855
1419.387109,0.050047,0.02043,2.449619
1419.388281,0.050035,0.020396,2.453195
1419.389453,0.049815,0.020382,2.443997
1419.390625,0.049709,0.020406,2.436046
1419.391797,0.049677,0.020468,2.427128
1419.392969,0.049715,0.020482,2.427276
1419.394141,0.049606,0.020408,2.43074
1419.395313,0.049411,0.020353,2.427745
1419.396484,0.049469,0.020336,2.432566
1419.397656,0.049568,0.020319,2.439537
